"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"CG12607",4.960291152,5.374110442,6.278790799,6.736132484,6.18295438,6.549743823,6.114143601,6.454455817,5.797124155,6.714642807,7.070512124,7.105480929,6.524008925,6.847383415,6.666296779
"NT1",5.041409359,4.95905369,4.92754216,4.037758832,3.945097325,3.459411237,4.200297029,4.728408109,4.873259588,5.129279748,4.793202515,5.332052522,5.005929705,5.158531001,4.954089915
"CG11357",8.323132555,8.467103868,7.965184781,7.703178914,7.969768705,7.328941495,8.434055215,7.147993586,7.749649549,5.098883314,5.277663356,5.01150752,7.395270084,6.648541897,5.693980152
"shep",4.254385913,3.925671891,4.327285335,4.240995333,4.201087694,4.039991074,4.02929768,4.090991335,4.201955664,4.256488393,4.274517924,4.247857736,3.277720254,3.302522033,3.168066733
"Blimp-1",6.758622222,4.959124178,6.042331184,7.11332675,7.026948441,6.022763544,6.348354786,6.892985132,7.124485875,6.019892887,5.255785472,5.56049739,6.171424752,6.471902288,5.760988856
"CG32407",7.138987149,6.631552793,6.952707794,7.041621706,7.125362764,6.69297858,8.06451926,8.064781143,8.11000675,7.371707554,6.850386719,7.143464795,6.765263944,7.125819448,7.029321501
"CG10467",9.240666767,8.216009564,7.992669348,7.562357565,7.176710875,7.552128499,8.323696992,8.173493231,7.991281236,7.846431646,7.359516083,7.735665889,7.727505897,7.263200335,7.325900045
"CG7386",5.847310423,6.255977708,5.800379605,5.556198607,5.584313226,5.4712144,3.560100473,4.536076839,4.898634933,5.745559787,5.811151117,5.810882616,5.467852176,5.495988962,5.36201312
"Tnpo",8.977016326,8.38045395,9.155180534,10.16102155,10.05367796,10.51526128,8.901882572,8.874711475,8.774530713,8.952156894,8.634901009,8.571273429,9.013992816,8.987577799,8.207722316
"sfl",5.75542332,6.455378446,6.196840375,4.12389505,4.030662813,4.709678239,4.911364799,4.838439321,5.003394622,4.38489239,4.081474321,4.705526192,4.36440514,4.43789676,4.661652396
"Acbp2",8.546638745,9.024551226,8.684307427,8.085897522,7.590938245,8.069155325,8.42705786,8.110546053,7.948688773,7.931736145,7.739675128,8.411386416,7.913275055,7.373052687,7.780321457
"CG32369",3.125737258,3.369734534,3.929252504,3.12571975,2.984114799,2.297070062,3.001826147,4.125571704,4.12291503,2.192711612,2.192711612,2.192711612,2.506015443,2.530415512,2.513927774
"CG13679",3.902510557,4.215747043,4.268677303,5.145615497,5.32400733,5.558230866,4.797464289,4.663103119,4.018603897,5.139015767,5.480123841,5.560858137,4.737817169,4.939357346,5.408704767
"PGRP-LC",5.39930934,3.806733046,4.907060473,2.424325438,2.89348271,2.424325438,2.832536161,2.65875299,4.363605953,2.655048137,2.663390427,2.663390427,2.429521631,2.452996885,2.632286458
"CG3552",7.11190406,7.358681785,7.183631381,7.452363971,7.223856222,7.499807157,6.7818092,6.776239133,6.359610415,7.379801395,7.459584807,7.42574406,7.41133902,7.88476114,7.654600145
