"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"1628779_a_at",8.973643314,9.00623166,8.998790237,9.038775945,9.228085018,8.880052016,7.509559288,7.383385251,7.402766387,9.008236486,8.917791131,8.898103774,8.965866662,8.851497705,8.603607152
"1638554_at",7.802441447,7.763347957,7.646780941,7.783853375,8.08797442,7.866042604,6.695729533,6.501367767,6.298720324,7.736694126,7.708769413,7.645026743,7.70921642,7.867430842,7.74200938
"1636174_at",7.575094268,7.895920938,7.509132598,8.289288814,8.375924615,8.346254983,8.250052555,8.242435265,8.025984139,7.999196467,8.1308055,7.774521749,8.196868103,8.367304178,8.074908406
"1633994_at",5.23591835,5.393987069,5.566170218,4.777180447,4.33176539,4.89434488,5.106006921,5.497020752,5.005983026,4.895383902,4.811570812,5.484492892,4.61333781,4.692258403,4.678289916
"1636131_at",8.333990888,8.287521051,8.342482431,6.879044262,6.813780742,6.923459883,6.907391787,6.896984788,6.826404855,7.354785526,7.180116805,7.257396947,7.212722123,7.170850786,7.093516355
"1639944_at",7.741277169,7.839868918,7.806866186,6.305241071,5.928190554,6.392132144,6.897643513,6.594158622,6.514672936,6.31262177,6.264234105,6.748898129,6.202784363,6.004322581,6.421512796
"1630626_at",5.63905983,5.843141008,5.966144205,4.374043524,4.513878192,4.761012991,4.897657224,5.083663723,5.249376474,5.437418251,5.820949699,5.807512086,5.004709874,5.249512991,5.166988927
"1637467_at",3.806465608,3.832979244,3.673495047,4.685378582,4.549564568,4.700876662,4.440962671,4.737609709,4.339985554,4.524188325,4.694338067,4.949900657,4.983882462,4.611015368,4.717587542
"1625324_at",8.922136764,8.592824277,8.707144449,8.637286064,8.568290014,8.50424318,8.888991803,9.042716789,9.053324937,8.817056019,8.807282293,8.739350244,8.458635862,8.730674543,8.680035677
"1640901_at",5.081778034,4.945943707,5.200256172,4.541632343,4.612611088,4.72701159,4.665064954,4.998793805,5.155856535,5.100286075,5.120252918,5.177435818,4.85509459,5.010338475,5.117003574
"1633481_at",4.873903279,4.499451446,4.886521483,3.551652778,4.037831128,3.786754036,4.723384459,4.716116117,4.830281374,4.806125598,4.923528665,4.714271653,4.142766699,4.401089362,4.767324451
"1638011_a_at",9.627619999,9.471709806,9.528207055,9.443594126,9.346721363,9.663426349,10.76913817,10.8576972,10.78593154,9.445078025,9.387561746,9.336819241,9.466477339,9.572789754,9.252231168
"1635214_at",6.218046368,6.186740964,6.382992225,5.363402529,5.602548306,5.623860464,5.952267502,6.050522013,5.953270056,6.012597586,6.203900691,6.037687866,6.038927461,6.088054175,5.908178471
"1632015_at",3.587806952,3.629878497,3.838229111,3.469758707,3.218025457,3.469758707,4.118501569,3.886805733,3.870766059,3.61810566,3.567932863,3.885266034,3.927313759,3.892860266,3.920073619
"1627073_a_at",9.265686474,9.281874021,9.25998547,9.611724516,9.939041599,9.693526904,8.812264497,8.684021825,8.658436169,9.673443733,9.742259381,9.823918957,9.247362674,9.382405582,9.410894338
"1635467_a_at",2.488474527,2.61684811,2.667393709,2.521869653,2.521869653,2.521869653,2.425946532,2.402060051,2.425946532,2.52659617,2.88820959,2.982239993,2.271895738,2.271895738,2.271895738
"1637370_at",5.797702476,3.451048715,3.596939533,2.745902695,2.929362724,2.929362724,3.014546221,3.274818111,3.99735938,3.813795618,3.912672839,3.32127379,2.867437848,2.866942388,3.086325477
"1638882_at",2.585675375,2.818832461,2.791997622,2.272164923,2.264421167,2.264387985,2.798015339,2.784630842,2.790201759,2.777973634,2.638556054,3.172886925,2.269196689,2.776237158,2.810039569
"1623522_at",4.745917636,4.895346197,4.819333468,2.596128851,2.575368273,2.586915566,4.804134366,3.981053368,3.670497973,3.409135605,3.70110759,3.562390791,2.786225143,2.747305451,2.747305451
"1636055_at",9.494396922,9.363019195,9.372992081,2.177728981,2.177728981,2.177728981,2.180955343,2.180955343,2.180955343,2.176269893,2.272271634,2.36024531,3.413736528,2.322239931,2.314858852
"1641590_at",6.56954764,6.512199296,6.49781359,5.967451928,5.983902497,6.212201491,6.730820373,6.522073443,6.361861032,6.057175822,6.126788631,6.359076223,6.505169028,5.988198398,5.891014413
"1627258_at",9.432093378,9.152305173,9.375841679,9.354086441,9.070520531,9.09885225,9.041025244,9.280824176,9.244340428,9.049606898,8.641118805,8.976656987,8.673197358,8.876202613,8.8245577
"1624577_at",10.12921597,9.772199892,9.929299007,9.726197046,10.01610568,9.605916419,9.601347307,9.628513971,9.76534623,9.991784304,9.72651347,9.768508438,9.634728176,9.532214739,9.625248705
"1633720_s_at",3.766536168,3.817279932,3.724622889,3.131154245,3.131154245,3.066849724,4.038943325,4.055713083,4.296945229,3.67366072,3.779934079,3.745678339,3.203642571,3.565380583,3.42754629
"1634855_s_at",7.544914474,7.84238066,7.764821365,7.371297127,7.229673196,7.377699964,7.258946663,7.323401618,7.291128543,7.618796827,7.81166925,7.740693606,7.479805132,7.55041549,7.606355745
"1634960_at",5.28013269,5.618736122,5.304231164,5.430173649,5.604174801,4.988361377,5.343090618,5.253149765,5.167320068,5.617271806,5.782306536,5.128519723,5.233926524,5.208909231,5.479319824
"1630540_at",4.431246544,4.656555311,4.60575313,4.089655236,4.200936584,4.284624888,4.377836062,4.563340866,4.439903489,4.72996577,4.59800555,4.656426053,4.559387178,4.605303126,4.561104705
"1627855_at",4.211259427,3.987113886,4.396516866,4.591461969,4.412289265,4.114708129,4.432556956,4.43190482,4.707488126,4.189769644,4.420080974,4.482576612,3.992172028,3.901601769,4.087187896
"1628246_at",4.356172819,4.41410088,4.3642992,4.593958289,4.314794626,4.609107222,4.644871083,4.646576738,4.717934701,4.482352378,4.57290616,4.426561229,3.958283432,4.111761089,3.946617535
"1628435_at",10.27074935,10.24041278,10.18771238,11.666194,11.67356211,10.62832043,10.25195222,10.16537675,10.14159624,10.25621079,9.826203935,9.855402325,9.92081757,9.946796331,9.645936046
"1631082_at",6.66770264,6.145330278,6.644157937,4.295657848,5.292867351,5.011530827,7.350810935,6.667005568,6.742965853,3.013381269,3.204899345,2.986804133,3.915106706,3.571466417,3.062642994
"1625302_at",2.604257674,3.157758753,2.991303113,2.43786156,2.349595485,2.448259076,2.383940633,2.452880249,2.45590883,2.931673572,2.938596573,2.938596573,2.520437313,2.949816943,2.844511118
"1638710_at",2.931919054,3.007075066,2.929413049,2.583631453,2.626349499,2.576791444,2.583858186,2.581864474,2.571056948,2.938399714,2.896358403,2.931919054,2.62866071,2.568689023,2.567112621
"1625743_at",2.852555553,2.936804147,2.948010699,2.305465636,2.291513507,2.411176389,2.339334813,2.433163237,2.285296862,2.809653031,2.648887785,2.807916343,2.95014816,2.942719345,2.932961434
"1639079_at",7.021389468,6.897163324,6.877209353,6.554139402,6.330348861,6.336454247,7.079464917,6.710240704,7.076162988,6.306639782,6.423343763,6.231822354,5.969073597,6.162706281,6.414041116
"1635294_at",7.234366009,6.100002958,6.794065464,6.769200068,7.436256222,7.049721318,7.307135546,7.492403706,7.655995286,7.525627887,7.096479045,7.683053416,6.902391892,6.819196903,6.868818399
