	GSM864362	GSM864363	GSM864364	GSM864365	GSM864366	GSM864367	GSM864368	GSM864369	GSM864370	GSM864371	GSM864372	GSM864373	GSM864374	GSM864375	GSM864376
1641662_at	6.547402521	6.773259441	6.783840073	6.328941222	6.121956634	5.953084574	6.385732771	6.49542016	6.387495759	6.630054691	6.466298284	6.619398133	6.423526962	6.673070081	6.125569744
1641663_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641664_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.181335192	2.181335192	2.181335192	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641665_at	2.174168064	2.174168064	2.174168064	2.177728981	2.184448445	2.177728981	2.181195703	2.181509389	2.181195703	2.174168064	2.174168064	2.174168064	2.179869313	2.179869313	2.189502458
1641666_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641667_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641668_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180994266	2.180994266	2.180994266	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641669_a_at	10.33934557	10.39263062	10.41106274	10.41194991	10.29513009	10.37400126	10.12977244	10.28824555	10.23019876	10.38153061	10.32838147	10.37314372	10.3081936	10.36234892	10.36976935
1641670_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641671_at	9.166808166	9.235425272	9.184005892	8.972879929	9.048800672	9.04348967	8.92813719	8.971004875	8.964154235	9.188456988	9.213322228	9.141987295	9.052507378	8.884208894	8.999745049
1641672_at	2.227889864	2.209731382	2.209731382	2.324399873	2.324399873	2.392148515	2.31509632	2.329410367	2.314404974	2.209731382	2.209731382	2.209731382	2.191392832	2.191392832	2.191392832
1641673_at	8.297875528	8.483096414	8.473279595	8.387916857	8.220786776	8.332224881	8.077770852	8.095598617	8.116036614	8.321091984	8.475151302	8.57469042	8.31551041	8.174227495	8.019133096
1641674_at	4.896991854	4.917328372	4.903477397	5.034281301	5.091514012	5.029056619	4.466855323	4.45316574	4.455917997	4.95452208	5.384015217	4.952206554	5.027319714	4.903685401	5.037997926
1641675_at	8.6124137	8.707158398	8.770976095	8.419237888	8.398433646	8.326471152	8.441039525	8.584220103	8.431155922	8.763513012	8.738779536	8.847424582	8.479140579	8.551615577	8.633001756
1641676_at	9.696338156	9.552414361	9.599222257	9.606459457	9.497165598	9.630633057	9.542907795	9.595658993	9.577543512	9.643763012	9.660073241	9.670894431	9.542215389	9.634707729	9.57506292
1641677_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.181007046	2.181007046	2.181007046
1641678_at	4.978458204	5.016387598	5.436095022	5.067117162	4.782012866	4.853386101	3.817439101	4.196437703	4.26389376	4.80628035	4.746348158	5.564680033	4.684479461	4.577261906	4.690473877
1641679_at	2.213842148	2.213842148	2.213842148	2.222912619	2.260043181	2.222912619	2.236424396	2.232805983	2.232695339	2.245035192	2.213842148	2.213842148	2.179869313	2.179869313	2.179869313
1641680_at	2.186311054	2.186311054	2.208355965	2.374090217	2.177728981	2.177728981	2.184116239	2.184116239	2.184116239	2.186541993	2.186311054	2.182527593	2.186184766	2.186184766	2.186184766
1641681_s_at	8.514412708	8.400042383	8.345380212	8.48966774	8.445859389	8.555658609	8.375438575	8.364337239	8.341158228	8.527023065	8.587291812	8.470816509	8.331798539	8.378242927	8.664622901
